Title,Cluster
Talladega Nights: The Ballad of Ricky Bobby,0
The Angry Birds Movie,0
Snake Eyes,0
Sphere,0
The Simpsons Movie,2
Fool's Gold,0
Funny People,0
The Kingdom,0
Dr. Dolittle 2,0
Jarhead,0
Driven,4
The Majestic,0
Two Brothers,0
The Village,0
Doctor Dolittle,0
Signs,2
Shrek 2,0
Cars,2
Alvin and the Chipmunks: The Squeakquel,1
Runaway Bride,4
xXx,5
Ransom,0
Hook,0
Die Hard 2,0
S.W.A.T.,5
Vanilla Sky,0
Olympus Has Fallen,0
Battle Los Angeles,0
AVP: Alien vs. Predator,0
War Horse,0
We Were Soldiers,1
The Monuments Men,5
Star Trek: Insurrection,0
Wolf,0
Underworld Awakening,1
Dracula Untold,2
The Abyss,0
Wall Street: Money Never Sleeps,0
The Dilemma,0
The Siege,1
Stardust,4
Rock of Ages,0
Seven Years in Tibet,0
Sky Captain and the World of Tomorrow,0
I Spy,0
Bad Company,0
Doom,0
The Finest Hours,1
Escape Plan,0
Killer Elite,0
Hard Rain,0
Hart's War,0
Rollerball,1
The Legend of Hercules,1
Ballistic: Ecks vs. Sever,0
Osmosis Jones,0
Legends of Oz: Dorothy's Return,0
Blackhat,0
Basic Instinct 2,0
Agora,0
Despicable Me,0
Dinner for Schmucks,0
The Twilight Saga: Eclipse,0
The Sum of All Fears,0
Ted 2,0
The Score,5
Hall Pass,0
Money Train,0
Dreamcatcher,0
Mystery Men,3
The Insider,0
Body of Lies,0
Abraham Lincoln: Vampire Hunter,0
The Last Legion,4
Entrapment,5
The X Files,0
Need for Speed,0
What Women Want,2
Lincoln,0
Ice Age,0
Apollo 13,0
Les Misérables,1
The Santa Clause 2,0
You've Got Mail,0
Unbroken,2
Due Date,0
Step Brothers,0
The Mask of Zorro,4
Space Cowboys,0
Annie,0
Cliffhanger,0
Broken Arrow,0
World Trade Center,0
The Kid,5
Mona Lisa Smile,0
The Dictator,1
Eyes Wide Shut,0
This Means War,4
Focus,4
Blade: Trinity,0
Red Dawn,3
We Are Marshall,0
Everest,1
Resident Evil: Retribution,0
Primary Colors,0
Death Race,0
The Long Kiss Goodnight,4
Proof of Life,0
Zathura: A Space Adventure,4
Elektra,3
Astro Boy,0
"I, Frankenstein",0
Hudson Hawk,0
Sin City: A Dame to Kill For,0
Lucky Numbers,0
Oliver Twist,5
Dragon Blade,5
Littleman,0
Random Hearts,0
Perfume: The Story of a Murderer,0
Austin Powers in Goldmember,0
Hop,0
Wyatt Earp,2
Clear and Present Danger,0
U-571,0
The American President,0
The Hateful Eight,0
The Love Guru,0
3000 Miles to Graceland,0
Blades of Glory,0
Maze Runner: The Scorch Trials,2
2 Guns,0
Meet the Fockers,2
The Lego Movie,5
300,0
Wild Hogs,3
Marley & Me,2
Chicken Little,2
The Bourne Identity,0
Couples Retreat,0
GoldenEye,0
The Italian Job,2
Daddy Day Care,0
The General's Daughter,0
The Prince of Egypt,5
Collateral,0
Cats & Dogs,0
Two Weeks Notice,0
Antz,0
The Scorpion King,0
RED,0
Starsky & Hutch,0
Days of Thunder,4
Cheaper by the Dozen 2,2
Eat Pray Love,4
Jack Reacher,0
Man on Fire,2
The Family Man,0
Contagion,0
Any Given Sunday,0
The Horse Whisperer,1
Coraline,5
Ladder 49,0
Deep Blue Sea,3
This Is It,0
Kangaroo Jack,0
The Happening,4
London Has Fallen,0
The Shaggy Dog,0
Jingle All the Way,0
Hellboy,0
A Civil Action,1
Joy,2
ParaNorman,0
The Jackal,5
Paycheck,0
Up Close & Personal,4
The Tale of Despereaux,0
The Boxtrolls,4
The Tuxedo,0
Jack Ryan: Shadow Recruit,4
Under Siege 2: Dark Territory,0
Miss Congeniality 2: Armed and Fabulous,2
Alien: Resurrection,0
Shooter,0
Practical Magic,0
Gangster Squad,0
Star Trek: Nemesis,1
Reign of Fire,0
Year One,2
Righteous Kill,0
Invictus,0
State of Play,0
Duplicity,0
My Favorite Martian,0
Edge of Darkness,0
Planet 51,5
Trouble with the Curve,0
Intolerable Cruelty,0
The Relic,0
Almost Famous,0
Analyze That,0
The Soloist,0
The Mortal Instruments: City of Bones,0
Mercury Rising,0
The Legend of Bagger Vance,0
Priest,0
Garfield 2,0
xXx: State of the Union,0
Event Horizon,0
Sinbad: Legend of the Seven Seas,1
Dragonfly,0
The Black Dahlia,0
Dark Water,0
Edtv,0
Flyboys,1
The Last Castle,0
Winter's Tale,0
Supernova,0
Meet Dave,0
The Great Raid,3
Inkheart,4
Mortdecai,0
The Spirit,1
In the Name of the King: A Dungeon Siege Tale,0
Beyond Borders,0
The Monkey King 2,1
American Sniper,0
Goosebumps,4
Holy Man,0
Rambo III,0
Just Like Heaven,4
The Flintstones in Viva Rock Vegas,0
Leatherheads,0
The Ridiculous 6,5
Did You Hear About the Morgans?,0
The Internship,3
Resident Evil: Afterlife,3
Red Tails,0
The Devil's Advocate,5
That's My Boy,0
Ghost Rider: Spirit of Vengeance,0
DragonHeart,1
After the Sunset,1
Captain Corelli's Mandolin,0
The Pacifier,0
Walking Tall,0
Alvin and the Chipmunks,0
Hitch,0
Meet the Parents,0
The Pursuit of Happyness,0
Pocahontas,5
Superman,5
The Nutty Professor,0
Captain Phillips,1
George of the Jungle,4
American Wedding,0
The Equalizer,4
Casper,0
Date Night,0
Maid in Manhattan,0
Crimson Tide,4
Flightplan,4
Disclosure,0
City of Angels,0
Paddington,2
Mr. Popper's Penguins,1
Bowfinger,0
Kill Bill: Vol. 2,1
Tango & Cash,0
Death Becomes Her,4
Shanghai Noon,2
Executive Decision,0
Free Birds,0
Alien 3,2
The Forbidden Kingdom,0
The Phantom of the Opera,4
Muppets Most Wanted,1
Evita,1
Ronin,0
Burlesque,0
The Ghost and the Darkness,0
Changeling,0
The Watch,3
The Hunted,5
Instinct,4
Stuck on You,0
Semi-Pro,0
The Pirates! Band of Misfits,1
Æon Flux,3
Chain Reaction,0
The Fan,5
Elizabeth: The Golden Age,0
Imagine That,0
Gods and Generals,1
Turbulence,2
Bullet to the Head,2
All the King's Men,1
Thunderbirds,2
A Very Long Engagement,4
Lucky You,0
Lolita,0
Eye See You,0
Superman II,0
Blade II,0
"You, Me and Dupree",0
Seven Pounds,0
The Godfather: Part III,0
Elizabethtown,4
Shaft,0
The Dukes of Hazzard,0
Law Abiding Citizen,0
Black Mass,1
Anastasia,1
Moulin Rouge!,0
Domestic Disturbance,0
Flags of our Fathers,1
Grindhouse,0
Beloved,0
Zero Dark Thirty,0
Mamma Mia!,3
The Break-Up,0
Valentine's Day,0
The Change-Up,0
The Thin Red Line,0
Man on the Moon,1
From Paris with Love,4
Bulletproof Monk,4
"Me, Myself & Irene",4
Barnyard,0
Deck the Halls,0
The Adjustment Bureau,1
The Twilight Saga: New Moon,0
Shrek,2
Ted,0
22 Jump Street,2
Robin Hood: Prince of Thieves,0
Jerry Maguire,0
Daddy's Home,0
As Good as It Gets,0
Patch Adams,1
Into the Woods,2
Anchorman 2: The Legend Continues,0
Super 8,3
Mr. Deeds,0
Central Intelligence,2
Erin Brockovich,5
How to Lose a Guy in 10 Days,4
Interview with the Vampire: The Vampire Chronicles,0
Yes Man,0
Non-Stop,5
Stepmom,4
Failure to Launch,0
Inside Man,0
"Crazy, Stupid, Love.",0
Payback,0
Congo,0
Knowing,0
We Bought a Zoo,2
The Ring Two,0
Moneyball,0
Garfield,0
Christmas with the Kranks,0
Outbreak,0
Race to Witch Mountain,0
Herbie Fully Loaded,0
Shanghai Knights,0
Curious George,1
American Reunion,0
Hansel & Gretel: Witch Hunters,0
I Am Number Four,0
Don't Say a Word,4
13 Hours,0
Unfaithful,0
Syriana,0
Resident Evil: Apocalypse,0
The Book of Life,2
Absolute Power,0
Firewall,0
The Game,2
G.I. Jane,4
Into the Storm,0
The Judge,2
Silent Hill,4
The Replacements,0
The Negotiator,0
Beverly Hills Cop III,0
Gremlins 2: The New Batch,1
The Peacemaker,4
Out of Time,0
Bridget Jones: The Edge of Reason,2
The Beach,0
The Adventures of Sharkboy and Lavagirl 3-D,4
On Deadly Ground,0
Ninja Assassin,4
Raising Helen,4
For Love of the Game,0
Marmaduke,2
Striptease,0
Hereafter,0
Murder by Numbers,0
Assassins,0
Zoolander 2,0
Hannibal Rising,2
The Story of Us,0
The Host,0
Basic,0
Run All Night,0
Blood Work,0
The International,5
Escape from L.A.,0
The Life Aquatic with Steve Zissou,0
The Iron Giant,4
Your Highness,0
Dream House,2
Free State of Jones,0
Gamer,0
Man of the House,3
The Life of David Gale,0
Beautiful Creatures,0
Into the Blue,3
Eastern Promises,2
The Messenger: The Story of Joan of Arc,4
Fair Game,0
Drive Angry,0
Baby's Day Out,0
Mad City,3
The Scarlet Letter,5
Domino,1
Jade,4
Street Fighter: The Legend of Chun-Li,0
Death to Smoochy,0
Pirate Radio,0
The Big Bounce,0
What Planet Are You From?,0
Child 44,0
Arrival,0
The One,0
Chappie,0
The Adventures of Ford Fairlane,0
Anna Karenina,0
Rings,4
Traffic,2
Panic Room,4
Taken 3,0
The Thomas Crown Affair,0
The Bone Collector,0
Three Kings,0
The Tooth Fairy,0
Rat Race,0
3:10 to Yuma,0
K-PAX,0
Kate & Leopold,5
Bedazzled,0
Out of Sight,0
The Cotton Club,1
First Blood,0
The Infiltrator,0
Dick Tracy,1
The Cable Guy,0
Riding in Cars with Boys,0
Happily N'Ever After,5
Solaris,0
Jonah Hex,1
Mary Reilly,0
My Best Friend's Wedding,0
America's Sweethearts,0
First Contact,1
Insomnia,0
Courage Under Fire,0
Inchon,0
Liar Liar,0
A Bug's Life,3
Taken 2,0
The Flintstones,0
Scary Movie 3,0
Miss Congeniality,5
Journey to the Center of the Earth,0
The Pelican Brief,0
The Princess Diaries 2: Royal Engagement,0
The Bucket List,0
The Client,2
The Muppets,0
Patriot Games,2
Monster-in-Law,1
Training Day,0
Galaxy Quest,1
Scary Movie 2,0
Blade,0
Coach Carter,0
The Bounty Hunter,0
Changing Lanes,1
Anaconda,0
Underworld: Evolution,0
Coyote Ugly,0
Love Actually,0
From Hell,1
The Specialist,2
Tin Cup,0
"Yours, Mine and Ours",2
Kicking & Screaming,0
The Hitchhiker's Guide to the Galaxy,1
Resident Evil: Extinction,0
Fat Albert,0
Savages,0
The River Wild,0
Blended,4
Last Holiday,4
16 Blocks,5
The Indian in the Cupboard,0
Cellular,4
The Ant Bully,2
Johnny English,2
Dune,0
Aliens in the Attic,3
Across the Universe,1
Revolutionary Road,4
Babylon A.D.,4
Victor Frankenstein,4
The Glimmer Man,1
Multiplicity,0
The Pledge,4
The Producers,2
The Phantom,1
The Ghost Writer,0
All the Pretty Horses,0
Bangkok Dangerous,4
Nixon,4
Deep Rising,3
Johnny English Reborn,0
Miracle at St. Anna,0
Curse of the Golden Flower,2
Big Trouble,1
Love in the Time of Cholera,4
Pinocchio,0
Shadow Conspiracy,0
Argo,0
The Fugitive,0
Rambo: First Blood Part II,0
Sleepers,3
Charlie St. Cloud,0
The Juror,1
The Interview,0
Heaven's Gate,0
The Heat,5
Finding Forrester,4
28 Days,0
Unleashed,0
The Sweetest Thing,0
The Mechanic,0
The Firm,4
21 Jump Street,0
Notting Hill,1
Chicken Run,0
Along Came Polly,0
Boomerang,0
Brüno,0
Cleopatra,1
Here Comes the Boom,0
High Crimes,0
The Mirror Has Two Faces,0
Red Riding Hood,4
The Mothman Prophecies,0
Licence to Kill,0
One for the Money,0
15 Minutes,0
Lord of War,5
Super Mario Bros.,0
Hero,0
Man on a Ledge,0
The Warrior's Way,0
Micmacs,0
Animal Kingdom: Let's go Ape,1
8 Mile,4
A Knight's Tale,2
The Medallion,0
The Big Year,0
Fifty Shades of Grey,0
The Karate Kid,0
The Proposal,4
American Hustle,0
Cheaper by the Dozen,0
Lucy,4
Lone Survivor,0
Back to the Future Part II,2
Double Jeopardy,4
Spy Kids 3: Game Over,0
A Time to Kill,4
A League of Their Own,0
The Conjuring 2,0
The Social Network,0
42,0
Julie & Julia,0
He's Just Not That Into You,1
Ride Along 2,0
Scary Movie 4,0
Get Hard,0
Scream 3,0
Back to the Future Part III,0
Dumb and Dumber To,0
The Other Woman,2
Bram Stoker's Dracula,1
Eight Below,0
The Talented Mr. Ripley,4
The Intern,0
The Last of the Mohicans,0
Ray,1
Bridge of Spies,0
Vantage Point,1
"I Love You, Man",0
Shallow Hal,4
Big Momma's House 2,5
The Mexican,1
The Final Destination,2
17 Again,0
Unknown,4
Get Him to the Greek,0
Gothika,0
Behind Enemy Lines,0
The Lincoln Lawyer,4
Shall We Dance,0
Escape from Planet Earth,0
Small Soldiers,0
Spawn,5
Horrible Bosses 2,0
The Count of Monte Cristo,4
The Lake House,0
Predators,3
The Odd Life of Timothy Green,0
The Living Daylights,0
Apocalypto,4
Music and Lyrics,4
Legal Eagles,0
Secret Window,0
The Skeleton Key,0
Jersey Boys,1
Made of Honor,4
The Rainmaker,5
Medicine Man,5
Amistad,1
A Million Ways to Die in the West,4
Final Destination 5,0
Fever Pitch,0
Aliens vs. Predator: Requiem,0
Sex Tape,0
Scream 4,0
Ri¢hie Ri¢h,2
Autumn in New York,4
Paul,0
The Guilt Trip,0
Colombiana,4
8MM,0
Hanging Up,0
The Doors,1
Mickey Blue Eyes,5
Pay It Forward,4
Drillbit Taylor,0
Extremely Loud & Incredibly Close,0
The Shadow,0
Morning Glory,5
Get Rich or Die Tryin',0
The Art of War,0
Grudge Match,0
Bless the Child,1
Rent,0
The Out-of-Towners,1
The Island of Dr. Moreau,2
The Musketeer,0
The Other Boleyn Girl,0
Sweet November,4
The Reaping,0
Mean Streets,0
Renaissance Man,3
The Magic Sword: Quest for Camelot,5
City by the Sea,0
At First Sight,0
Torque,0
Fantastic Mr. Fox,5
Showgirls,4
City Hall,1
Big Miracle,2
The Impossible,1
A Thousand Words,2
Marie Antoinette,1
Get Carter,0
Kiss of Death,0
Life or Something Like It,0
Ishtar,0
Memoirs of an Invisible Man,2
Cirque du Freak: The Vampire's Assistant,2
New York Minute,0
The Deep End of the Ocean,1
Alfie,0
Feardotcom,0
Soul Men,0
The Gunman,0
Universal Soldier: The Return,1
Pandorum,0
Duplex,4
Disturbia,0
Raise the Titanic,0
Impostor,0
Extreme Ops,3
Just Visiting,0
Snowpiercer,0
Sunshine,0
The Hudsucker Proxy,0
Hackers,0
Delgo,3
The Hunting Party,0
Alex Rider: Operation Stormbreaker,2
Red Cliff,1
The Last Shot,0
The Warlords,1
Nomad: The Warrior,5
A Monster in Paris,4
Dragon Nest: Warriors' Dawn,0
The Crow,0
The Time Traveler's Wife,0
Superman III,0
Because I Said So,0
Frankenweenie,0
Sgt. Bilko,0
Serenity,1
Against the Ropes,0
The Grandmaster,1
Sweet Home Alabama,4
The Ugly Truth,0
Spy Kids 2: Island of Lost Dreams,1
Star Trek: Generations,0
Paul Blart: Mall Cop 2,2
Water for Elephants,0
The Hurricane,1
Riddick,0
Heartbreakers,0
Enough,4
The 5th Wave,0
Precious,0
Angel Eyes,0
Joe Somebody,0
The Ninth Gate,0
Extreme Measures,0
Rock Star,0
White Squall,0
City of Ember,0
Switchback,5
Texas Rangers,3
Virgin Territory,0
What to Expect When You're Expecting,0
The Master,1
The Express,0
Twilight,0
We're the Millers,2
Creed,1
The Town,0
Dolphin Tale,0
Burn After Reading,0
Nim's Island,4
How to Be Single,3
Cop Out,0
The Rite,5
Space Chimps,0
Aloha,0
Dark Planet,0
John Q,0
Blue Streak,0
Never Say Never Again,0
Hot Tub Time Machine,0
Breakdown,0
Dolphin Tale 2,1
A Man Apart,0
Reindeer Games,2
Snow Falling on Cedars,0
Ghosts of Mississippi,0
Gattaca,0
Isn't She Great,5
Ip Man 3,0
There Be Dragons,0
Head of State,0
The Hangover,0
The Blind Side,1
Batman,1
Austin Powers: The Spy Who Shagged Me,0
True Grit,0
Lethal Weapon 3,0
Identity Thief,4
The Devil Wears Prada,0
Horrible Bosses,0
Spy Kids,1
Trainwreck,4
Saving Mr. Banks,0
Star Trek: The Motion Picture,0
21,0
Cape Fear,2
The English Patient,4
Guess Who,4
This Is 40,0
Sky High,4
In & Out,0
A Nightmare on Elm Street,0
The Cell,5
Species,3
The Benchwarmers,0
Secretariat,0
The Man in the Iron Mask,1
Friends with Benefits,4
Neighbors 2: Sorority Rising,0
TMNT,0
Radio,1
Old Dogs,0
Malcolm X,0
Poltergeist,0
Underworld: Rise of the Lycans,5
Must Love Dogs,0
License to Wed,0
Donnie Brasco,5
Max Payne,2
Resident Evil,0
The Ladykillers,5
Something Borrowed,0
The Nativity Story,0
In Time,0
The Back-up Plan,4
J. Edgar,0
Hot Pursuit,5
Concussion,0
Closer,4
Black Knight,2
The Bad News Bears,5
Street Fighter,0
House of Wax,3
Mirrors,5
Queen of the Damned,1
Nanny McPhee Returns,2
Untraceable,0
Predator 2,0
Abduction,4
Flash Gordon,0
Superhero Movie,0
Blast from the Past,0
Alex Cross,0
Jersey Girl,2
Midnight in the Garden of Good and Evil,0
Heist,0
Hoffa,1
Ella Enchanted,0
The X Files: I Want to Believe,0
Premium Rush,0
Broken City,0
Valiant,0
Wonder Boys,5
Cursed,4
Walk Hard: The Dewey Cox Story,0
The Four Feathers,0
Furry Vengeance,3
Parker,0
Wimbledon,4
Bait,0
Krull,0
Lions for Lambs,0
Flight of the Intruder,0
The Tree of Life,1
American Outlaws,3
Zoom,3
The Shipping News,5
The Young Victoria,0
Sabotage,0
Knock Off,0
Whiteout,0
Unfinished Business,0
The Fountain,0
The Walk,0
Mandela: Long Walk to Freedom,0
Punisher: War Zone,1
The Order,4
A Good Year,0
Femme Fatale,4
Warriors of Virtue,3
Biutiful,0
Radio Flyer,0
"Blood In, Blood Out",0
Smilla's Sense of Snow,0
Playing for Keeps,0
Lion of the Desert,0
The Horseman on the Roof,4
Ride with the Devil,0
Stolen,0
Bandidas,0
Black Water Transit,0
The Darkest Hour,4
The Maze Runner,0
The Longest Ride,4
The Age of Innocence,4
Ponyo,0
Chill Factor,0
The Astronaut's Wife,2
I Dreamed of Africa,0
Thunder and the House of Magic,4
Reds,0
A Few Good Men,0
Big Momma's House,4
Exit Wounds,0
Step Up Revolution,0
Snakes on a Plane,5
The Punisher,5
The Watcher,0
Safe,4
Doomsday,0
Pushing Tin,0
Goal! The Dream Begins,1
The Young and Prodigious T.S. Spivet,0
Bridesmaids,0
The Reader,4
The Big Wedding,2
Wanderlust,0
Elf,2
Phenomenon,5
This Is the End,0
Snow Dogs,0
Nacho Libre,0
Scrooged,0
Takers,3
Source Code,0
Stigmata,4
Men of Honor,1
Transporter 2,4
"Big Mommas: Like Father, Like Son",0
Alive,0
The Number 23,0
1941,0
Dreamer: Inspired by a True Story,0
A History of Violence,2
The Incredible Burt Wonderstone,0
The Quick and the Dead,0
Laws of Attraction,0
Going the Distance,0
Bringing Out the Dead,0
Repo Men,0
Dragon Wars: D-War,0
Bogus,4
Cats Don't Dance,0
Cradle Will Rock,0
The Good German,0
George and the Dragon,0
Criminal,0
Flight,5
Mr. Holland's Opus,0
Out of Africa,0
Moonraker,0
Vacation,2
Arachnophobia,0
Frequency,5
Hearts in Atlantis,0
Extraordinary Measures,0
Get Shorty,0
Chicago,0
Big Daddy,0
American Pie 2,0
The Vow,0
Speed,4
The Hunt for Red October,0
Lee Daniels' The Butler,2
Remember the Titans,1
District 9,5
Dodgeball: A True Underdog Story,3
The Addams Family,2
Ace Ventura: When Nature Calls,0
The Princess Diaries,0
Analyze This,0
The First Wives Club,0
Mystic River,2
The SpongeBob SquarePants Movie,0
Up in the Air,0
The Notebook,4
Hannah Montana: The Movie,0
27 Dresses,4
Rugrats in Paris: The Movie,1
The Prince of Tides,2
Four Brothers,0
Legends of the Fall,0
Looper,0
Warm Bodies,2
About Schmidt,0
The Nut Job,5
Down to Earth,2
Babe,0
Hope Springs,2
Forgetting Sarah Marshall,0
Baby Mama,4
Hope Floats,4
Bride Wars,0
Without a Paddle,2
13 Going on 30,4
Midnight in Paris,2
The Curse of the Were-Rabbit,0
P.S. I Love You,4
Corpse Bride,4
Letters to Juliet,0
Blow,1
Message in a Bottle,4
Southpaw,0
Star Trek V: The Final Frontier,0
Like Mike,0
Naked Gun 33 1/3: The Final Insult,0
Atonement,0
A View to a Kill,5
Racing Stripes,5
Sicario,5
Black Rain,0
The Three Stooges,0
Glory Road,0
The Age of Adaline,4
Step Up 3D,3
Drag Me to Hell,4
The Cabin in the Woods,0
Secondhand Lions,4
Stranger Than Fiction,5
Hanna,0
Blue Crush,0
30 Days of Night,2
Little Shop of Horrors,0
Gridiron Gang,0
Midnight Run,5
The Running Man,0
Mortal Kombat: Annihilation,3
Larry Crowne,2
Carrie,0
Take the Lead,3
Love & Other Drugs,4
What's the Worst That Could Happen?,0
Side Effects,4
9,0
Deliver Us from Evil,0
Get on Up,0
The Five-Year Engagement,0
The Prince and Me,0
Winnie the Pooh,1
Bulworth,0
Dumb and Dumberer: When Harry Met Lloyd,0
Virtuosity,0
One True Thing,4
Sanctum,5
My Super Ex-Girlfriend,0
Mr 3000,0
The Next Three Days,0
Little Black Book,4
Assault on Precinct 13,0
Runner Runner,0
The Replacement Killers,0
Ultraviolet,0
North Country,0
Fright Night,2
Eight Legged Freaks,0
Fled,0
Splice,0
88 Minutes,0
The Whole Ten Yards,1
Howard the Duck,0
Pride and Glory,0
The Cave,0
Godsend,0
Alex & Emma,0
Wicker Park,4
The New World,1
The Last Stand,1
In Dreams,0
Wing Commander,0
Antitrust,0
Dead Man Down,4
Hoodwinked Too! Hood vs. Evil,3
Chasing Liberty,0
An Unfinished Life,0
The Imaginarium of Doctor Parnassus,0
Barney's Version,1
Glory,0
The Assassination of Jesse James by the Coward Robert Ford,0
The Merchant of Venice,0
The Good Thief,5
Supercross,0
Miss Potter,1
The Promise,0
Machine Gun Preacher,0
DOA: Dead or Alive,1
1911,0
Little Nicholas,3
Wild Card,0
Konferenz der Tiere,3
Grace of Monaco,1
The Color of Freedom,1
A Warrior's Tail,0
Harlock: Space Pirate,0
Sausage Party,0
Ripley's Game,2
Pitch Perfect 2,3
Walk the Line,0
The Boss,0
Once Upon a Time in Mexico,0
Keeping the Faith,4
The Borrowers,2
Frost/Nixon,0
Seed of Chucky,0
Serving Sara,0
Confessions of a Dangerous Mind,5
Taking Woodstock,0
Cry Freedom,0
Florence Foster Jenkins,1
Mumford,0
The Jacket,0
Indiana Jones and the Temple of Doom,2
Straight Outta Compton,3
The Rugrats Movie,0
Along Came a Spider,0
Safe Haven,4
The Big Short,0
Role Models,0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2
Miracle,0
Last Vegas,0
The Wedding Planner,0
Dawn of the Dead,4
For Your Eyes Only,0
The Royal Tenenbaums,5
Identity,0
Serendipity,0
Kick-Ass,0
Zoolander,0
Timecop,0
No Reservations,1
Hocus Pocus,2
Pride & Prejudice,4
30 Minutes or Less,0
Dracula 2000,3
Rob Roy,0
3 Days to Kill,0
Kick-Ass 2,3
We Own the Night,0
A Walk Among the Tombstones,0
The Spy Next Door,0
Brick Mansions,5
Just My Luck,4
Lost Souls,3
Winged Migration,0
Pride and Prejudice and Zombies,0
"Mystery, Alaska",0
Ghosts of Mars,0
A Simple Wish,0
Our Brand Is Crisis,0
Kundun,0
How to Lose Friends & Alienate People,0
Captain Alatriste: The Spanish Musketeer,0
Knocked Up,0
Octopussy,0
My Sister's Keeper,0
"Welcome Home, Roscoe Jenkins",2
Joyful Noise,0
A Passage to India,0
Notes on a Scandal,0
Rendition,0
Anonymous,1
Star Trek VI: The Undiscovered Country,1
Divine Secrets of the Ya-Ya Sisterhood,2
Kiss the Girls,0
The Blues Brothers,0
The Sisterhood of the Traveling Pants 2,0
Money Monster,0
About a Boy,4
Spy Kids: All the Time in the World in 4D,0
Lake Placid,0
Lucky Number Slevin,1
The Right Stuff,1
The NeverEnding Story,0
Dark City,0
The Duchess,0
Case 39,0
Return to Oz,0
The Newton Boys,1
Suspect Zero,0
Martian Child,0
Formula 51,5
Flawless,5
Mindhunters,0
What Just Happened,0
The Statement,0
The Magic Flute,0
Paul Blart: Mall Cop,0
Freaky Friday,5
The 40-Year-Old Virgin,0
Shakespeare in Love,4
Kindergarten Cop,0
Pineapple Express,0
Ever After: A Cinderella Story,1
Flatliners,0
Open Range,0
Red Eye,4
New Year's Eve,1
A Bridge Too Far,1
Pain & Gain,0
Final Destination 2,1
"O Brother, Where Art Thou?",0
In Good Company,0
Legion,3
Song to Song,0
Clockstoppers,0
Silverado,0
Brothers,4
The Best of Me,0
Agent Cody Banks 2: Destination London,0
Original Sin,4
The Raven,4
Welcome to Mooseport,0
Highlander: The Final Dimension,0
Self/less,4
The Curse of the Jade Scorpion,5
The Fifth Estate,0
Blood and Wine,0
Blood Ties,0
Snow White: A Tale of Terror,0
Viy,5
Accidental Love,4
The Face of an Angel,0
Flipper,0
The Constant Gardener,0
W.,0
The Passion of the Christ,0
Mrs. Doubtfire,2
Taken,0
Ride Along,0
The Bodyguard,0
"Legally Blonde 2: Red, White & Blonde",0
Scooby-Doo 2: Monsters Unleashed,0
Anchorman: The Legend of Ron Burgundy,0
Freddy vs. Jason,0
Bridge to Terabithia,0
Jimmy Neutron: Boy Genius,5
Cloverfield,3
Dear John,0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1
Parental Guidance,0
The Untouchables,0
Bridget Jones's Diary,4
Chocolat,4
No Strings Attached,0
Contraband,0
The Lucky One,4
Tombstone,0
Romeo Must Die,5
The Omen,1
Final Destination 3,0
A Madea Christmas,0
Finding Neverland,1
The Grey,2
The House Bunny,2
Hide and Seek,0
Agent Cody Banks,0
Nanny McPhee,0
The Giver,4
Nothing to Lose,0
The Last Emperor,1
The Hours,1
Money Talks,0
The Wild Thornberrys Movie,0
Rugrats Go Wild,2
The Sisterhood of the Traveling Pants,0
Undercover Brother,1
August: Osage County,2
Kiss of the Dragon,0
Million Dollar Arm,0
Beauty Shop,0
What a Girl Wants,5
Jeepers Creepers II,1
Good Luck Chuck,4
Cradle 2 the Grave,0
She's the Man,0
The Gambler,0
Mr. Bean's Holiday,4
Bride of Chucky,0
August Rush,0
Anacondas: The Hunt for the Blood Orchid,0
The Sitter,0
Elizabeth,0
Tora! Tora! Tora!,0
Spice World,3
Draft Day,4
Dance Flick,0
Crocodile Dundee in Los Angeles,4
Kingpin,0
Ice Princess,0
Don't Be Afraid of the Dark,4
The Losers,0
War,5
Don Juan DeMarco,4
A Lot Like Love,0
He Got Game,0
Eddie the Eagle,1
Shark Night 3D,0
Punch-Drunk Love,0
EuroTrip,0
The Ruins,3
The Counsellor,0
Unaccompanied Minors,3
"Bright Lights, Big City",4
Half Past Dead,0
Legend,0
The Adventures of Pinocchio,0
The Greatest Game Ever Played,0
The Box,0
The Next Best Thing,0
My Soul to Take,0
The Girl Next Door,0
A Perfect Plan,2
Maximum Risk,0
Stealing Harvard,0
Hot Rod,0
Angela's Ashes,2
Cirque du Soleil: Worlds Away,4
The 33,0
Lifeforce,0
The Conspirator,0
Lords of Dogtown,1
Big Trouble in Little China,5
Michael Collins,0
Stop-Loss,0
Gettysburg,0
Abandon,0
Straw Dogs,0
Brokedown Palace,0
The Possession,1
Mrs. Winterbourne,1
Stone Cold,0
The Road,0
The Hoax,0
Sheena,4
Underclassman,4
Say It Isn't So,2
The World's Fastest Indian,1
The Best Offer,0
Tank Girl,0
King's Ransom,0
Blindness,0
Carnage,0
BloodRayne,3
Bad Lieutenant: Port of Call New Orleans,0
Jane Got a Gun,4
Me and Orson Welles,4
Where the Truth Lies,4
Without Limits,1
On the Road,0
Little White Lies,0
Love Ranch,0
Kung Fu Killer,0
A Turtle's Tale: Sammy's Adventures,0
Space Dogs,0
Ironclad,3
Red Sky,0
Waterloo,0
The Adventurer: The Curse of the Midas Box,0
Dangerous Liaisons,4
